r,ae,UC_arxiv,ECP18,ECP19,ECP18P,ECP20,ECP21,ECP17_arxiv
1.3,0.17818221,0.17773993,0.18081864,0.181724,0.0,0.17932306,0.17968953,0.18036359
1.4,0.01559166,0.01559582,0.01776431,0.01834718,0.01773871,0.01676113,0.01704584,0.0174246
1.5,-0.10179400000000001,-0.10149704,-0.09996629,-0.09963993,-0.09999504,-0.10057502,-0.10036888,-0.10019125
1.6,-0.185002,-0.18455267,-0.18338405,-0.18325216,-0.18341754,-0.18368606,-0.18355139,-0.18350541
1.7,-0.24156075,-0.2410664,-0.24005193,-0.24006354,-0.24009046,-0.24011901,-0.24004719,-0.24008427
1.8,-0.27721703,-0.2767431,-0.27575111,-0.27586737,-0.27579436,-0.27563927,-0.27562124,-0.27570925
1.9,-0.29658576,-0.29616709,-0.29512632,-0.2953187,-0.29517371,-0.29487833,-0.29490536,-0.2950238
2.0,-0.30342034,-0.30307137,-0.30195022,-0.30219799,-0.30200107,-0.3015986,-0.30166273,-0.30179885
2.1,-0.30074542,-0.30046921,-0.29925791,-0.299546,-0.29931153,-0.29882751,-0.29892177,-0.29906766
2.2,-0.29096859,-0.29076244,-0.28946266,-0.28977971,-0.28951839,-0.28897265,-0.28909113,-0.28924179
2.3,-0.27601244,-0.27587065,-0.27449059,-0.27482875,-0.27454782,-0.27395603,-0.27409374,-0.27424594
2.4,-0.25742561,-0.25734192,-0.25589378,-0.2562463,-0.25595192,-0.25532681,-0.25547949,-0.25563114
2.5,-0.23645636,-0.23642145,-0.23492068,-0.23528236,-0.23497919,-0.2343314,-0.23449531,-0.23464506
2.6,-0.21409969,-0.21410409,-0.21256842,-0.21293492,-0.21262677,-0.21196544,-0.21213729,-0.21228426
